husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,nwifeinc,inlf,hrwage
56,0,1500,14,0,0,40,1,100,49,0,12,0,0,55000,36,31,0,15,49.8,1,6.666667
31,0,800,17,0,0,40,0,480,29,0,14,0,0,55000,8,9,0,40,30.04,1,12
33,0,950,13,0,0,60,0,455,30,0,12,0,0,32500,14,12,1,40,8.84,1,11.375
34,0,1000,14,0,0,50,1,102,31,0,12,0,0,55000,14,13,0,20,49.696,1,5.1
42,0,730,14,0,0,40,1,300,41,0,12,0,0,32500,22,23,0,30,16.9,1,10
45,0,1154,16,0,0,38,1,425,45,0,18,0,0,67500,23,21,0,35,45.4,1,12.14286
33,0,1350,16,0,0,40,0,770,32,0,12,0,0,112500,11,14,0,40,72.46,1,19.25
31,0,769,18,0,0,55,0,125,27,0,14,0,0,45000,7,7,1,21,38.5,1,5.952381
31,0,340,12,0,0,40,0,245,30,0,15,0,0,32500,13,9,1,35,19.76,1,7
44,0,750,12,0,0,40,1,539,42,0,12,0,0,55000,26,24,0,40,26.972,1,13.475
45,0,1200,12,0,0,50,0,300,42,0,12,0,0,112500,27,24,0,40,96.9,1,7.5
22,0,249,12,0,0,40,0,299,23,0,13,0,0,27500,4,4,0,40,11.952,1,7.475
66,0,500,16,0,0,40,0,500,55,0,12,0,0,67500,44,37,0,40,41.5,1,12.5
43,0,400,12,0,0,50,1,260,31,0,12,0,0,45000,25,13,0,40,31.48,1,6.5
26,0,520,14,0,0,36,0,345,27,0,14,0,0,45000,6,7,0,40,27.06,1,8.625
37,1,500,12,0,0,50,0,213,30,0,12,0,0,32500,19,12,1,15,21.424,1,14.2
51,0,500,12,0,0,40,0,320,49,0,12,0,0,67500,33,31,0,60,50.86,1,5.333333
38,0,1500,16,0,0,40,0,550,38,0,16,0,0,67500,16,16,1,40,38.9,1,13.75
37,0,465,12,0,0,50,0,687,32,0,17,0,1,45000,19,9,1,40,9.276,1,17.175
54,0,300,18,0,0,60,0,400,52,0,18,0,1,112500,30,28,0,50,91.7,1,8
29,0,600,16,0,0,50,0,460,27,0,14,0,0,55000,7,7,1,40,31.08,1,11.5
35,0,600,16,0,0,42,0,600,31,0,12,0,0,55000,13,13,0,40,23.8,1,15
38,0,240,18,0,0,48,1,400,36,0,16,0,0,32500,14,14,0,40,11.7,1,10
44,0,1450,18,0,0,40,1,1100,45,0,18,0,0,3000,20,21,0,40,0,1,27.5
31,0,675,16,0,0,40,0,434,32,0,14,0,0,67500,9,12,1,24,44.932,1,18.08333
40,0,865,18,0,0,48,0,100,38,0,18,0,0,3000,16,14,1,10,0,1,10
33,0,600,12,0,0,35,1,308,31,0,12,0,0,3000,15,13,0,30,0,1,10.26667
34,0,1923,18,0,0,60,0,962,33,0,18,1,0,112500,10,9,1,27,62.476,1,35.62963
53,0,385,12,0,0,0,0,576,45,0,12,0,0,55000,35,27,0,40,25.048,1,14.4
25,0,350,11,1,0,40,0,141,33,1,10,0,0,13750,8,17,0,35,6.418,1,4.028572
